twitter_id,label,__split
904968513504337920,positive,test
904724056355856388,positive,train
903176576040239104,positive,val
912598430727405568,positive,val
911194635573350400,positive,val
923799336751976449,positive,train
922351296610529280,positive,train
926542057749000193,positive,train
926348936113262592,positive,train
930694546484350976,positive,train
936911897009405953,positive,val
936316480408387584,positive,val
935878416427028481,positive,train
904966261754429440,positive,test
904601016980520960,positive,train
903647158326394883,positive,train
903643978213593088,positive,train
902919845037080577,positive,val
902919120437608448,positive,train
902871703281393665,positive,val
902461761441366019,positive,train
902445584841310209,positive,test
902219274881814529,positive,train
902058144922083328,positive,train
912241543318208514,positive,train
911689026159173634,positive,test
911523772322086914,positive,test
911195322575138816,positive,test
910535933476433921,positive,test
924987035789725697,positive,train
924963800499085314,positive,val
924961737484496896,positive,train
924909111766142977,positive,train
924587000593833985,positive,train
923911873967378432,positive,train
923797081789227008,positive,test
923795088601485312,positive,train
923794515764314112,positive,train
923794199916531714,positive,train
923649873630646272,positive,train
923523024267235328,positive,val
923457364048711680,positive,test
923242059993174016,positive,train
923088148334247936,positive,test
922857595760791557,positive,train
922491617474498560,positive,train
922382129006198784,positive,train
921664484015525888,positive,train
925271976511451137,positive,train
925271530719805441,positive,train
925261814534955008,positive,train
925042829633736704,positive,train
925039366220730370,positive,test
927808493347901440,positive,val
927434088356577280,positive,train
926797077354487808,positive,test
925743694493470720,positive,train
925690555723665410,positive,train
927810972873457665,positive,val
928341391658373127,positive,val
930497660519411713,positive,test
930135094127415296,positive,val
930008942050148352,positive,test
929724968652349440,positive,test
929301809361014784,positive,val
930859299932442625,positive,train
930833788170629120,positive,train
931225197151182848,positive,train
931069564816953344,positive,val
932183069536038912,positive,train
934731665645195264,positive,train
933238901589778432,positive,val
932906343689842688,positive,train
935418496074309632,positive,test
937592878519521285,positive,train
937592747241934848,positive,test
937581658919882752,positive,val
937455295047094272,positive,val
937402755173543936,positive,test
936505470654828544,positive,test
936494629452763137,positive,test
936189073479405568,positive,test
935913173328244737,positive,val
904976383289556992,positive,train
904976333238935552,positive,train
904957125411123200,positive,train
904625954806312960,positive,val
904605254016266240,positive,train
904300617363066880,positive,train
904253844993003520,positive,test
903996568528932864,positive,train
903933997172097025,positive,test
903920384071880704,positive,train
903898226981564416,positive,test
903651604653596673,positive,train
903649499167551488,positive,val
903610169766051840,positive,train
903564916203954176,positive,val
903513178721714176,positive,train
903513040649408514,positive,test
903504620504350721,positive,test
903350615765655552,positive,test
903306454567923712,positive,val
903283896653139968,positive,train
903281683797073920,positive,val
903279562284556292,positive,val
903250055745982464,positive,test
903156633131417600,positive,test
903152248645197824,positive,val
903150692071821316,positive,train
902919879489187841,positive,test
902877076906237953,positive,test
902876500688605185,positive,test
902875211782995968,positive,train
902853442498170880,positive,val
902823338891935744,positive,test
902823223796142080,positive,test
902803678641479680,positive,val
902788367548633088,positive,train
902788301278588929,positive,train
902779071049994240,positive,test
902633051934658560,positive,train
902629304097497089,positive,train
902541554874769408,positive,test
902532677152247808,positive,train
902489395789488131,positive,train
902427521165139968,positive,train
902209460474695680,positive,test
902186020778766336,positive,test
902175474834694145,positive,test
902173953812201472,positive,train
902163147498430466,positive,test
902143762356477952,positive,train
902111969184014337,positive,train
902109101915766784,positive,train
901772443676803075,positive,val
912640687941804035,positive,test
912621313407234048,positive,train
912359598564139008,positive,train
912272551455477760,positive,test
912268810438238208,positive,train
912254652804190208,positive,val
912249820504403968,positive,train
912234056615636992,positive,train
911863676726075392,positive,train
911552961104482305,positive,val
911320315686473728,positive,train
911255752181932032,positive,train
911255001120559104,positive,train
911254119473729536,positive,train
911246525552054276,positive,train
911173408582447105,positive,train
911158941803040768,positive,train
911155633470234624,positive,train
911140775265734656,positive,train
911133643346780160,positive,train
911101657810964480,positive,train
910957077232783360,positive,train
910893895403364354,positive,train
910891388371390465,positive,train
910862431454363648,positive,val
910799561081413633,positive,train
910761133174337536,positive,train
910760979537022976,positive,val
910751744275222528,positive,train
910609411365883904,positive,test
910566787745542148,positive,val
910532011407835136,positive,train
910531610528899073,positive,test
910529577075736577,positive,train
910413236880789504,positive,train
910386225189736448,positive,val
910377798287659010,positive,train
910201776690929665,positive,train
910198806255243265,positive,train
910172519923093504,positive,train
910167935246848000,positive,train
910145133164863488,positive,val
910135518721134592,positive,test
910099479851945984,positive,train
924932102524727296,positive,train
924911365759930368,positive,train
924901734912282624,positive,train
924774949771935744,positive,test
