features,negative,neutral,positive,label
bf,5.4181597e-19,5.5095567e-33,1.0,positive
bf,5.4023275e-35,0.0,1.0,positive
bf,5.814811e-19,2.8526585e-24,1.0,positive
bf,5.2652235e-06,0.99999475,1.8666615e-08,positive
bf,0.0,0.0,1.0,positive
bf,4.2845784e-20,1.2135181e-22,1.0,positive
bf,3.0982794e-17,6.538471e-25,1.0,positive
bf,0.0,0.0,1.0,positive
bf,2.0853565e-37,0.0,1.0,positive
bf,0.009685607,0.70320225,0.28711212,positive
bf,1.3252602e-37,0.0,1.0,positive
bf,2.5892322e-10,2.6570397e-08,1.0,positive
bf,1.8065661e-28,0.0,1.0,positive
bf,2.349292e-16,9.4242975e-20,1.0,positive
bf,5.4807906e-35,0.0,1.0,positive
bf,0.0,0.0,1.0,positive
bf,0.0,0.0,1.0,positive
bf,0.0,0.0,1.0,positive
bf,0.0,0.0,1.0,positive
bf,2.8912287e-34,0.0,1.0,positive
bf,0.9967855,0.0032145022,1.035678e-09,positive
bf,0.0,0.0,1.0,positive
bf,1.5287369e-31,0.0,1.0,positive
bf,8.212201e-12,5.361306e-10,1.0,positive
bf,0.0,0.0,1.0,positive
bf,2.3444845e-16,3.0590441e-16,1.0,positive
bf,0.0,0.0,1.0,positive
bf,0.0,0.0,1.0,positive
bf,4.5181792e-32,0.0,1.0,positive
bf,2.5011905e-38,0.0,1.0,positive
bf,6.4094623e-25,2.394996e-32,1.0,positive
bf,2.2533364e-38,0.0,1.0,positive
bf,0.0,0.0,1.0,positive
bf,3.9959033e-14,4.2884283e-13,1.0,positive
bf,8.917866e-23,0.0,1.0,positive
bf,1.1079496e-08,0.88994527,0.11005477,positive
bf,4.64527e-17,5.4013536e-22,1.0,positive
bf,1.077444e-17,5.7620025e-31,1.0,positive
bf,7.941029e-18,4.8784346e-21,1.0,positive
bf,2.3651823e-30,0.0,1.0,positive
bf,1.1107498e-12,1.0,5.7843902e-08,positive
bf,8.756928e-12,1.0,1.5022983e-18,positive
bf,5.1920695e-16,2.4644092e-20,1.0,positive
bf,2.7304698e-06,9.948909e-07,0.9999963,positive
bf,3.4539992e-37,0.0,1.0,positive
bf,1.2441372e-20,1.08652266e-20,1.0,positive
bf,1.0,6.1941894e-16,1.871781e-11,positive
bf,0.0,0.0,1.0,positive
bf,1.5672276e-34,0.0,1.0,positive
bf,1.2122099e-35,0.0,1.0,positive
bf,0.0,0.0,1.0,positive
bf,2.2979988e-08,9.207722e-09,1.0,positive
bf,7.401316e-33,0.0,1.0,positive
bf,1.0,9.806038e-35,1.868811e-13,positive
bf,0.0,0.0,1.0,positive
bf,3.2843512e-26,0.0,1.0,positive
bf,2.4431816e-11,2.702213e-13,1.0,positive
bf,2.368871e-26,0.0,1.0,positive
bf,0.0,0.0,1.0,positive
bf,0.0,0.0,1.0,positive
bf,1.7852378e-15,9.1425906e-23,1.0,positive
bf,2.8228161e-30,0.0,1.0,positive
bf,6.6376316e-08,0.9999999,8.694732e-12,positive
bf,2.3218575e-18,1.0,6.2509113e-19,positive
bf,0.0,0.0,1.0,positive
bf,0.0,0.0,1.0,positive
bf,0.0,0.0,1.0,positive
bf,2.5986357e-15,1.2177024e-12,1.0,positive
bf,4.0004766e-30,0.0,1.0,positive
bf,0.0,0.0,1.0,positive
bf,3.279106e-33,0.0,1.0,positive
bf,1.3066674e-13,2.4460848e-31,1.0,positive
bf,1.0,5.3201275e-15,5.0483295e-10,positive
bf,2.9521075e-23,1.445197e-27,1.0,positive
bf,8.5424296e-24,0.0,1.0,positive
bf,1.8381091e-16,1.0,6.6100237e-24,positive
bf,3.252071e-35,0.0,1.0,positive
bf,0.0,0.0,1.0,positive
bf,1.4318915e-17,1.7253953e-22,1.0,positive
bf,1.1832826e-31,0.0,1.0,positive
bf,6.4525505e-22,2.9391992e-36,1.0,positive
bf,2.6759208e-06,7.098065e-06,0.9999902,positive
bf,5.090856e-21,2.8604423e-29,1.0,positive
bf,1.7245145e-21,3.1303602e-29,1.0,positive
bf,5.7982115e-22,2.7500638e-36,1.0,positive
bf,2.3790736e-29,0.0,1.0,positive
bf,1.1793497e-14,7.890458e-16,1.0,positive
bf,1.1542302e-28,0.0,1.0,positive
bf,0.0,0.0,1.0,positive
bf,6.599541e-13,1.1304897e-21,1.0,positive
bf,1.3530903e-30,0.0,1.0,positive
bf,9.0362575e-21,5.8037454e-29,1.0,positive
bf,2.6639626e-26,0.0,1.0,positive
bf,0.34835327,0.65164673,6.786263e-11,positive
bf,6.216722e-17,1.7625884e-31,1.0,positive
bf,3.150519e-16,1.0635004e-22,1.0,positive
bf,1.5812166e-08,1.0,3.967535e-08,positive
bf,8.829289e-10,1.2702281e-08,1.0,positive
bf,0.0,0.0,1.0,positive
bf,1.5067612e-13,2.3457001e-07,0.99999976,positive
bf,2.1564303e-10,1.0,3.1604577e-11,positive
bf,1.912079e-27,0.0,1.0,positive
bf,1.4574459e-16,1.834676e-13,1.0,positive
bf,4.0633697e-21,5.6751944e-34,1.0,positive
bf,1.0700199e-36,0.0,1.0,positive
bf,3.9853718e-35,0.0,1.0,positive
bf,1.5739977e-12,1.0,1.5234417e-09,positive
bf,6.8047075e-06,0.9999932,8.191136e-12,positive
bf,9.739966e-11,1.0,3.134926e-10,positive
bf,2.868532e-19,4.369111e-23,1.0,positive
bf,7.870477e-21,4.902958e-25,1.0,positive
bf,5.2177063e-22,1.0,6.9142156e-28,positive
bf,1.4381398e-08,0.999997,2.9896703e-06,positive
bf,4.831972e-10,0.9581108,0.041889206,positive
bf,2.3464402e-19,2.1176198e-17,1.0,positive
bf,5.680588e-19,4.2737175e-30,1.0,positive
bf,1.4343782e-18,5.3265355e-26,1.0,positive
bf,3.2083164e-27,9.869719e-36,1.0,positive
bf,0.0,0.0,1.0,positive
bf,3.917476e-12,1.0,1.5878306e-10,positive
bf,0.9999993,4.0818795e-24,6.785628e-07,positive
bf,6.902107e-08,0.99946743,0.0005324058,positive
bf,1.9151127e-15,1.0,4.91215e-25,positive
bf,0.0,0.0,1.0,positive
bf,1.2386434e-10,0.72583085,0.27416915,positive
bf,1.4927917e-19,1.0,4.359121e-16,positive
bf,3.2962094e-20,2.3670519e-29,1.0,positive
bf,0.0,0.0,1.0,positive
bf,0.99231344,5.7228185e-31,0.0076865493,positive
bf,0.031219548,0.9279103,0.040870115,positive
bf,1.6170546e-37,0.0,1.0,positive
bf,8.033327e-09,0.9996761,0.00032390645,positive
bf,3.071859e-07,1.3384125e-08,0.99999964,positive
bf,1.4880576e-09,1.0,8.308557e-09,positive
bf,2.812058e-11,7.65992e-18,1.0,positive
bf,0.29429775,5.5206257e-14,0.70570225,positive
bf,3.2656504e-25,1.0,1.3115631e-33,positive
bf,2.5519761e-20,1.5526063e-35,1.0,positive
bf,1.0502642e-15,2.717732e-15,1.0,positive
bf,3.6903723e-33,0.0,1.0,positive
bf,0.9982309,1.5064815e-10,0.0017691321,positive
bf,0.0,0.0,1.0,positive
bf,2.328418e-08,0.56002295,0.43997714,positive
bf,5.031116e-24,2.0727718e-28,1.0,positive
bf,9.14987e-33,0.0,1.0,positive
bf,4.009565e-31,0.0,1.0,positive
bf,0.0,0.0,1.0,positive
bf,7.4311117e-09,6.208522e-17,1.0,positive
bf,1.78654e-29,0.0,1.0,positive
