features,negative,neutral,positive,label
lf,0.4160941,0.011235392,0.5726705,positive
lf,0.28561595,0.20425743,0.5101266,positive
lf,0.10244527,0.51696724,0.38058752,positive
lf,0.064496726,0.4395057,0.49599755,positive
lf,0.17696615,0.019964114,0.8030698,positive
lf,0.060022525,0.16086602,0.77911144,positive
lf,0.45026982,0.41754812,0.13218199,positive
lf,0.1341427,0.04054618,0.82531106,positive
lf,0.34111542,0.05995257,0.59893197,positive
lf,0.11062625,0.059584294,0.82978946,positive
lf,0.091710776,0.061707653,0.8465815,positive
lf,0.13871786,0.13998789,0.7212943,positive
lf,0.24853246,0.09118904,0.6602785,positive
lf,0.37690723,0.08078563,0.54230714,positive
lf,0.21084878,0.06860469,0.7205465,positive
lf,0.17787501,0.03134443,0.79078054,positive
lf,0.3379484,0.035336655,0.62671494,positive
lf,0.07085405,0.1807916,0.7483544,positive
lf,0.35097122,0.02063259,0.6283961,positive
lf,0.2705187,0.06390544,0.66557586,positive
lf,0.18221532,0.21593139,0.6018533,positive
lf,0.29123232,0.0439455,0.66482216,positive
lf,0.19786273,0.04012026,0.762017,positive
lf,0.14822033,0.11188593,0.7398938,positive
lf,0.3663851,0.025531705,0.6080831,positive
lf,0.41895172,0.0660007,0.5150476,positive
lf,0.052857347,0.31790575,0.6292369,positive
lf,0.20334303,0.168021,0.628636,positive
lf,0.19638984,0.19638154,0.60722864,positive
lf,0.33996242,0.32329187,0.33674577,positive
lf,0.6176053,0.07955077,0.3028439,positive
lf,0.10819064,0.015662678,0.8761466,positive
lf,0.057712153,0.0757642,0.8665236,positive
lf,0.30672508,0.25268525,0.44058973,positive
lf,0.0048111062,0.9727228,0.022466078,positive
lf,0.14432125,0.097535074,0.75814366,positive
lf,0.11977523,0.2135097,0.6667151,positive
lf,0.35035092,0.039629336,0.6100198,positive
lf,0.6464008,0.07069015,0.28290913,positive
lf,0.20509736,0.4645931,0.33030945,positive
lf,0.017193519,0.49784058,0.4849658,positive
lf,0.23881248,0.09766134,0.6635262,positive
lf,0.06844989,0.59663486,0.33491528,positive
lf,0.43267173,0.0468384,0.52048993,positive
lf,0.12350177,0.4893532,0.38714504,positive
lf,0.45295426,0.18906677,0.357979,positive
lf,0.2547574,0.083346404,0.6618962,positive
lf,0.07364291,0.0131605975,0.91319644,positive
lf,0.04656334,0.019377792,0.93405885,positive
lf,0.08741306,0.025112633,0.88747436,positive
lf,0.28459135,0.079863995,0.63554466,positive
lf,0.015876064,0.75221175,0.23191223,positive
lf,0.2955095,0.14325364,0.5612369,positive
lf,0.10265864,0.1404656,0.7568758,positive
lf,0.16251022,0.03133135,0.8061584,positive
lf,0.4332525,0.048796967,0.5179505,positive
lf,0.2542987,0.111975655,0.6337256,positive
lf,0.08851559,0.32920793,0.58227646,positive
lf,0.161387,0.066063896,0.77254903,positive
lf,0.48721427,0.13540508,0.37738064,positive
lf,0.21032068,0.5096075,0.28007182,positive
lf,0.10946962,0.13799097,0.7525394,positive
lf,0.35556537,0.08833807,0.5560966,positive
lf,0.41153264,0.39787066,0.19059674,positive
lf,0.63942325,0.06177487,0.2988019,positive
lf,0.1395638,0.0405523,0.81988394,positive
lf,0.08031095,0.016610855,0.90307826,positive
lf,0.41848186,0.31466964,0.26684844,positive
lf,0.09831856,0.20070311,0.70097834,positive
lf,0.13247707,0.10228247,0.7652404,positive
lf,0.1307341,0.18250984,0.6867561,positive
lf,0.14818458,0.27753764,0.57427776,positive
lf,0.2538783,0.10582769,0.64029396,positive
lf,0.7178957,0.13956578,0.14253855,positive
lf,0.33362773,0.28982282,0.3765494,positive
lf,0.022785325,0.9496061,0.027608626,positive
lf,0.3620712,0.050152592,0.5877762,positive
lf,0.28012353,0.43609884,0.28377765,positive
lf,0.09052195,0.28986886,0.61960924,positive
lf,0.20684017,0.04368812,0.74947166,positive
lf,0.42887464,0.35658947,0.21453594,positive
lf,0.21534124,0.17428762,0.6103711,positive
lf,0.10566777,0.2189478,0.6753844,positive
lf,0.539326,0.11153565,0.34913832,positive
lf,0.043670088,0.031097384,0.9252325,positive
lf,0.15893431,0.06507342,0.7759922,positive
lf,0.16831371,0.22241777,0.60926855,positive
lf,0.06899264,0.22177626,0.7092311,positive
lf,0.29689178,0.24449944,0.45860875,positive
lf,0.13751562,0.1619202,0.7005642,positive
lf,0.10891694,0.054275032,0.836808,positive
lf,0.10280199,0.05314502,0.844053,positive
lf,0.601504,0.051449314,0.34704658,positive
lf,0.043958135,0.074093714,0.88194823,positive
lf,0.096505776,0.09765259,0.8058416,positive
lf,0.08908058,0.12898332,0.7819361,positive
lf,0.11904456,0.4313796,0.4495759,positive
lf,0.4021743,0.10355666,0.49426907,positive
lf,0.17148219,0.62364364,0.20487419,positive
lf,0.15063067,0.5198607,0.3295086,positive
lf,0.035816304,0.6586766,0.3055071,positive
lf,0.35665697,0.11666144,0.5266816,positive
lf,0.18454261,0.32872215,0.48673528,positive
lf,0.05999601,0.0655632,0.8744407,positive
