features,negative,neutral,positive,label
se,0.2994304,0.16329621,0.53727335,positive
se,0.08050308,0.23203468,0.6874622,positive
se,0.25808796,0.20492256,0.53698945,positive
se,0.22488353,0.3598636,0.41525283,positive
se,0.10558099,0.29519176,0.5992273,positive
se,0.07456829,0.28047127,0.6449605,positive
se,0.13943462,0.5468184,0.313747,positive
se,0.10925351,0.11702774,0.7737188,positive
se,0.5372181,0.1275358,0.3352461,positive
se,0.18590508,0.20476481,0.6093302,positive
se,0.46123314,0.073283814,0.465483,positive
se,0.08209584,0.40099362,0.5169106,positive
se,0.27517533,0.21031101,0.5145137,positive
se,0.2527847,0.2761409,0.47107437,positive
se,0.087333925,0.1805736,0.73209244,positive
se,0.13371219,0.07884615,0.7874417,positive
se,0.07298662,0.10473472,0.8222786,positive
se,0.12170155,0.15122272,0.72707576,positive
se,0.13162854,0.05539103,0.81298035,positive
se,0.014373044,0.060440436,0.9251865,positive
se,0.6772867,0.16927958,0.15343374,positive
se,0.5287184,0.1235775,0.34770414,positive
se,0.25612366,0.18148036,0.56239605,positive
se,0.43554667,0.3272098,0.2372435,positive
se,0.12916353,0.052818716,0.8180177,positive
se,0.4192846,0.14002891,0.44068646,positive
se,0.26208702,0.23899904,0.4989139,positive
se,0.1837874,0.19831236,0.61790025,positive
se,0.14516422,0.13914828,0.71568745,positive
se,0.11726702,0.16182622,0.72090673,positive
se,0.5778809,0.10588832,0.3162308,positive
se,0.100084595,0.13518916,0.7647262,positive
se,0.057995144,0.12388676,0.8181181,positive
se,0.06912382,0.2367199,0.6941563,positive
se,0.2717042,0.15143844,0.5768574,positive
se,0.08343735,0.09716224,0.81940037,positive
se,0.30217233,0.29338774,0.40443987,positive
se,0.47398296,0.19422548,0.33179164,positive
se,0.19902302,0.25979394,0.54118305,positive
se,0.32774007,0.23981617,0.43244377,positive
se,0.062263317,0.7271146,0.21062203,positive
se,0.50171167,0.12779334,0.37049502,positive
se,0.09808751,0.3174174,0.58449507,positive
se,0.23240389,0.21954481,0.54805136,positive
se,0.14945127,0.20623104,0.6443176,positive
se,0.34300202,0.28958154,0.3674165,positive
se,0.560947,0.13623546,0.30281758,positive
se,0.10127477,0.09163804,0.80708724,positive
se,0.42268538,0.12923235,0.44808227,positive
se,0.05220407,0.12315884,0.8246371,positive
se,0.3792711,0.14950651,0.4712224,positive
se,0.3502373,0.35764238,0.2921203,positive
se,0.33335483,0.27156687,0.39507833,positive
se,0.38872838,0.178272,0.43299967,positive
se,0.21707578,0.11066798,0.67225623,positive
se,0.2143074,0.27521926,0.5104734,positive
se,0.27204213,0.17913683,0.54882103,positive
se,0.023389047,0.10159986,0.8750111,positive
se,0.52066857,0.21118659,0.2681449,positive
se,0.279404,0.11798089,0.6026151,positive
se,0.18244909,0.49306828,0.32448262,positive
se,0.042209696,0.18626557,0.7715247,positive
se,0.36384517,0.25518012,0.38097465,positive
se,0.17026614,0.31042635,0.51930743,positive
se,0.6229529,0.078543656,0.2985035,positive
se,0.08402421,0.112333536,0.8036423,positive
se,0.019171547,0.07314549,0.90768296,positive
se,0.33274806,0.26744604,0.39980587,positive
se,0.42430493,0.11571346,0.4599816,positive
se,0.11233868,0.052627377,0.835034,positive
se,0.041570652,0.13039817,0.8280311,positive
se,0.1673901,0.14298344,0.68962646,positive
se,0.45582035,0.27274674,0.2714329,positive
se,0.68452954,0.18832378,0.12714663,positive
se,0.24692197,0.21197805,0.54109997,positive
se,0.07775173,0.52780557,0.3944427,positive
se,0.22745012,0.230083,0.5424669,positive
se,0.057009842,0.15521792,0.7877723,positive
se,0.21802367,0.23384082,0.5481355,positive
se,0.2660191,0.1749157,0.5590652,positive
se,0.40596592,0.33724195,0.25679213,positive
se,0.029464558,0.17997192,0.7905635,positive
se,0.17493711,0.3419377,0.48312512,positive
se,0.79221755,0.06566421,0.14211819,positive
se,0.12965895,0.25702152,0.6133195,positive
se,0.21667369,0.3103691,0.4729572,positive
se,0.06316022,0.32021254,0.6166272,positive
se,0.06533336,0.18827611,0.7463905,positive
se,0.057466686,0.059106436,0.88342685,positive
se,0.11719588,0.18389165,0.6989124,positive
se,0.12217183,0.16329005,0.71453816,positive
se,0.038690437,0.08901869,0.8722909,positive
se,0.13456677,0.1450677,0.7203655,positive
se,0.1830793,0.19977744,0.6171433,positive
