features,negative,neutral,positive,label
we,0.42220742,0.05547855,0.5223141,positive
we,0.23376684,0.22135851,0.54487467,positive
we,0.22639772,0.08436659,0.68923575,positive
we,0.1709774,0.35473022,0.47429243,positive
we,0.34737095,0.04257989,0.6100492,positive
we,0.06089747,0.1704473,0.76865524,positive
we,0.3134729,0.38186648,0.30466056,positive
we,0.08011152,0.0051613883,0.9147271,positive
we,0.36957297,0.048257433,0.5821696,positive
we,0.08027915,0.03302911,0.8866918,positive
we,0.24760316,0.051556304,0.7008405,positive
we,0.16677172,0.034467325,0.79876095,positive
we,0.20441642,0.073495686,0.7220879,positive
we,0.37802273,0.13753548,0.4844417,positive
we,0.26575541,0.24177013,0.49247447,positive
we,0.1602708,0.014874983,0.8248542,positive
we,0.16906005,0.03180606,0.79913396,positive
we,0.44632787,0.081052646,0.47261947,positive
we,0.11251823,0.006753557,0.88072824,positive
we,0.29504827,0.0664902,0.63846153,positive
we,0.7028365,0.048992205,0.24817133,positive
we,0.6887467,0.010281152,0.3009721,positive
we,0.2862591,0.07168821,0.64205265,positive
we,0.60636383,0.24729654,0.14633958,positive
we,0.12572694,0.0071196887,0.8671534,positive
we,0.43859828,0.055633757,0.50576794,positive
we,0.1624971,0.19342971,0.64407325,positive
we,0.07414525,0.030308034,0.89554673,positive
we,0.19321084,0.040813494,0.7659757,positive
we,0.38387775,0.105909735,0.5102126,positive
we,0.74663246,0.00895203,0.24441558,positive
we,0.09129633,0.017937414,0.89076626,positive
we,0.26834065,0.04885949,0.6827999,positive
we,0.07416961,0.037646253,0.88818413,positive
we,0.7095158,0.07098376,0.2195005,positive
we,0.2508476,0.06627418,0.68287826,positive
we,0.17512998,0.1328237,0.69204634,positive
we,0.37114173,0.119151145,0.50970715,positive
we,0.33692613,0.14516973,0.5179041,positive
we,0.16202414,0.02220889,0.81576693,positive
we,0.04199492,0.842156,0.11584911,positive
we,0.74893546,0.027763676,0.22330084,positive
we,0.16828838,0.4851602,0.34655145,positive
we,0.40851524,0.06562485,0.5258599,positive
we,0.075277075,0.023314025,0.9014089,positive
we,0.67825407,0.030210342,0.2915356,positive
we,0.78413624,0.04221711,0.17364661,positive
we,0.13339937,0.010028179,0.8565724,positive
we,0.078373715,0.007896122,0.9137301,positive
we,0.07331905,0.004802654,0.92187834,positive
we,0.5483073,0.034670163,0.41702253,positive
we,0.3300613,0.46312964,0.206809,positive
we,0.34853995,0.067584835,0.58387524,positive
we,0.8639006,0.03395756,0.102141835,positive
we,0.1583564,0.007810697,0.833833,positive
we,0.210662,0.111244425,0.67809355,positive
we,0.22721305,0.028871292,0.7439157,positive
we,0.21587268,0.11712271,0.66700464,positive
we,0.36686942,0.2049612,0.42816934,positive
we,0.15861538,0.04348522,0.79789937,positive
we,0.5991652,0.09315607,0.30767876,positive
we,0.16532703,0.085474946,0.74919796,positive
we,0.4967322,0.18805823,0.3152095,positive
we,0.31678668,0.37635854,0.3068548,positive
we,0.3187158,0.069629535,0.6116546,positive
we,0.16524534,0.056441396,0.77831334,positive
we,0.05772772,0.0052387984,0.93703353,positive
we,0.33634037,0.22610804,0.43755156,positive
we,0.9408372,0.008971686,0.050191093,positive
we,0.04084605,0.0040468746,0.9551071,positive
we,0.22519799,0.0265715,0.7482306,positive
we,0.22109477,0.11609386,0.66281134,positive
we,0.22020307,0.21907249,0.5607244,positive
we,0.65107054,0.025895925,0.32303345,positive
we,0.42679906,0.052133285,0.5210677,positive
we,0.30198386,0.39231536,0.30570075,positive
we,0.5468853,0.03892396,0.41419068,positive
we,0.29417738,0.06467148,0.6411511,positive
we,0.17400827,0.37820244,0.44778925,positive
we,0.41580224,0.028878992,0.5553187,positive
we,0.3551138,0.3588416,0.28604457,positive
we,0.24047405,0.15047231,0.6090537,positive
we,0.091265686,0.101571,0.80716336,positive
we,0.30554444,0.017079988,0.67737556,positive
we,0.12133086,0.13239773,0.7462714,positive
we,0.110999085,0.036606845,0.8523941,positive
we,0.13284194,0.08566209,0.78149605,positive
we,0.11029286,0.09205597,0.7976512,positive
we,0.17026377,0.018689752,0.8110464,positive
we,0.16771717,0.08854086,0.743742,positive
we,0.30083984,0.05918985,0.6399703,positive
we,0.26490012,0.034925748,0.70017415,positive
we,0.33907118,0.07154586,0.58938295,positive
we,0.082943566,0.024204358,0.8928521,positive
we,0.17401122,0.09087985,0.7351089,positive
we,0.13216247,0.27841538,0.58942217,positive
we,0.09179006,0.6809229,0.22728701,positive
we,0.10994685,0.067923956,0.82212925,positive
we,0.2871021,0.1929516,0.5199463,positive
we,0.20819883,0.19737136,0.59442985,positive
we,0.42537913,0.27442425,0.30019665,positive
we,0.41969,0.01383329,0.5664767,positive
we,0.21072687,0.2953286,0.4939445,positive
we,0.14381985,0.16137818,0.6948019,positive
we,0.049023304,0.014575217,0.9364014,positive
we,0.16900404,0.028863037,0.8021329,positive
we,0.26297763,0.27856067,0.45846173,positive
we,0.14171413,0.7306058,0.1276801,positive
we,0.6230536,0.08706927,0.2898771,positive
we,0.15372084,0.17986687,0.6664123,positive
we,0.51422215,0.26147684,0.22430103,positive
we,0.2278809,0.40702036,0.36509877,positive
we,0.11173857,0.41871434,0.46954703,positive
we,0.40015754,0.20405671,0.39578578,positive
we,0.4118335,0.05017362,0.5379929,positive
we,0.2709932,0.12246615,0.6065406,positive
we,0.44275913,0.27310142,0.28413954,positive
we,0.20082073,0.6873449,0.11183431,positive
we,0.13918969,0.055805847,0.8050044,positive
we,0.12088249,0.5637071,0.31541038,positive
we,0.16165178,0.076686904,0.76166135,positive
we,0.24350499,0.63785255,0.11864251,positive
we,0.23680532,0.5538706,0.20932406,positive
we,0.18567769,0.02495595,0.78936636,positive
we,0.24978855,0.26055452,0.48965696,positive
we,0.3728873,0.24097706,0.38613564,positive
we,0.13073897,0.28348705,0.585774,positive
we,0.16459584,0.017137283,0.8182668,positive
we,0.8310829,0.025526773,0.14339034,positive
we,0.53670174,0.16959281,0.29370543,positive
we,0.11358281,0.008535783,0.8778814,positive
we,0.15432838,0.77731425,0.06835735,positive
we,0.4344938,0.30561548,0.2598907,positive
we,0.24252467,0.05427557,0.7031998,positive
we,0.37893507,0.41306978,0.20799513,positive
we,0.81639475,0.10713182,0.076473445,positive
we,0.22943969,0.677085,0.09347538,positive
we,0.49304754,0.09199234,0.4149602,positive
we,0.15498744,0.7415675,0.103445075,positive
we,0.20169207,0.098906204,0.6994018,positive
we,0.11960546,0.036700837,0.84369373,positive
we,0.033048887,0.012711891,0.9542392,positive
we,0.11376279,0.5313708,0.3548664,positive
we,0.14091142,0.046235874,0.8128527,positive
we,0.33138323,0.036940288,0.6316765,positive
we,0.34208903,0.006974622,0.65093637,positive
we,0.30859324,0.07289368,0.61851305,positive
we,0.34251228,0.10198224,0.5555055,positive
we,0.51927274,0.3209429,0.15978435,positive
we,0.5120478,0.23776764,0.2501845,positive
we,0.61436695,0.26270086,0.122932196,positive
we,0.656972,0.24927461,0.09375343,positive
we,0.26638293,0.42932427,0.30429286,positive
we,0.17888957,0.59568644,0.22542402,positive
we,0.17043103,0.55673766,0.27283132,positive
we,0.16303656,0.08245801,0.75450546,positive
we,0.10671231,0.008400232,0.8848875,positive
we,0.08112863,0.8245983,0.09427313,positive
we,0.20562896,0.4290469,0.36532408,positive
we,0.95465124,0.030974468,0.0143743055,positive
we,0.14029783,0.7214804,0.13822179,positive
we,0.73501873,0.085563704,0.17941752,positive
we,0.6576097,0.12774009,0.21465018,positive
we,0.06394779,0.17627569,0.7597766,positive
we,0.5863325,0.080837145,0.33283037,positive
we,0.71062636,0.006497512,0.28287616,positive
we,0.2191472,0.5233845,0.25746825,positive
we,0.12548517,0.74658453,0.12793027,positive
we,0.20219103,0.3608699,0.43693906,positive
we,0.6839573,0.19433556,0.1217072,positive
we,0.10475861,0.6070942,0.28814718,positive
we,0.2926994,0.25559458,0.45170605,positive
we,0.17593496,0.082250535,0.74181455,positive
we,0.25257656,0.44423962,0.30318382,positive
we,0.36171418,0.14568733,0.49259847,positive
we,0.3446994,0.2671295,0.38817108,positive
we,0.050699115,0.0042086453,0.9450922,positive
we,0.5119306,0.35746303,0.13060643,positive
we,0.3046034,0.33891043,0.35648617,positive
we,0.090385,0.072225906,0.8373891,positive
we,0.23414384,0.21704558,0.54881054,positive
we,0.17057346,0.24515362,0.584273,positive
we,0.2900534,0.07274825,0.6371983,positive
we,0.12543426,0.08663726,0.78792846,positive
we,0.15049566,0.5277982,0.3217062,positive
we,0.2771686,0.41174296,0.3110884,positive
we,0.12906772,0.74236304,0.12856925,positive
we,0.48280331,0.18393886,0.33325785,positive
we,0.057746567,0.043372408,0.8988811,positive
we,0.2566853,0.5343231,0.20899157,positive
we,0.24801451,0.27529114,0.47669435,positive
we,0.4997093,0.18397556,0.31631523,positive
we,0.108863786,0.16331589,0.72782034,positive
we,0.0920316,0.11345022,0.7945182,positive
we,0.29603782,0.035758622,0.6682035,positive
we,0.532473,0.1977939,0.26973307,positive
we,0.87879884,0.052907247,0.06829393,positive
we,0.21513677,0.19407848,0.5907848,positive
we,0.1649308,0.025835771,0.80923337,positive
we,0.2797527,0.13496898,0.58527833,positive
we,0.27289858,0.09624854,0.6308528,positive
we,0.17145441,0.72377914,0.104766525,positive
we,0.15388976,0.19112855,0.6549817,positive
we,0.31558946,0.20278312,0.48162743,positive
we,0.5449145,0.26275545,0.19233006,positive
we,0.22409941,0.101642326,0.67425823,positive
we,0.761844,0.0483583,0.18979762,positive
we,0.12856583,0.71549934,0.15593478,positive
we,0.24086894,0.4427594,0.31637168,positive
we,0.6085419,0.21298622,0.17847195,positive
we,0.20898177,0.33807814,0.45294008,positive
we,0.27203837,0.70598906,0.021972552,positive
we,0.48046976,0.29548445,0.22404578,positive
we,0.22190373,0.04227981,0.7358165,positive
we,0.3013503,0.36718923,0.3314605,positive
